MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
42,27,1676.243148175428,13154,2398,10756,1576.243148175428,18.230196138056865
54,16,1675.8559378849636,19407,4272,15135,1575.8559378849636,22.012675838614935
49,43,1675.6514884280768,8212,1247,6965,1575.6514884280768,15.185094982951778
42,13,1675.2620772211924,23021,5225,17796,1575.2620772211924,22.69666825941532
39,62,1674.7636451391515,10162,1809,8353,1574.7636451391515,17.80161385554025
94,67,1674.0010149554978,6823,1067,5756,1574.0010149554978,15.638282280521764
99,60,1673.5399500284393,7383,1209,6174,1573.5399500284393,16.37545713124746
19,34,1672.7342947168627,16968,3556,13412,1572.7342947168627,20.957095709570957
37,32,1671.922906438353,10477,1674,8803,1571.922906438353,15.977856256561992
43,71,1671.860774757325,9611,1772,7839,1571.860774757325,18.43720736655915
18,13,1669.9027689901664,22574,4892,17682,1569.9027689901664,21.670948879241607
66,45,1669.757044252387,8902,1478,7424,1569.757044252387,16.60301055942485
64,45,1669.153933302901,8893,1448,7445,1569.153933302901,16.28246935792196
58,31,1669.0236451646165,11902,2123,9779,1569.0236451646165,17.837338262476894
57,60,1668.1192666042398,6045,841,5204,1568.1192666042398,13.91232423490488
72,89,1667.590797820537,6610,986,5624,1567.590797820537,14.916792738275339
16,92,1667.1214131154256,14070,3215,10855,1567.1214131154256,22.8500355366027
60,91,1665.26158245006,7644,1282,6362,1565.26158245006,16.771323914181057
84,69,1665.0271738940214,6463,925,5538,1565.0271738940214,14.312238898344424
49,73,1664.9899315127527,8821,1467,7354,1564.9899315127527,16.630767486679517
89,14,1664.5786431188849,21064,4788,16276,1564.5786431188849,22.73072540827953
82,77,1664.0363766006699,5115,637,4478,1564.0363766006699,12.453567937438907
58,46,1663.7769348366112,8544,1340,7204,1563.7769348366112,15.683520599250937
65,45,1662.4527776298944,8883,1458,7425,1562.4527776298944,16.41337386018237
82,76,1662.244960486964,5298,684,4614,1562.244960486964,12.910532276330692
79,79,1662.0600000001496,4070,503,3567,1562.0600000001496,12.358722358722359
70,13,1661.773000115912,22515,5077,17438,1561.773000115912,22.549411503442148
54,75,1661.2198400303328,8233,1290,6943,1561.2198400303328,15.668650552653954
57,77,1660.7538441515287,7937,1202,6735,1560.7538441515287,15.144261055814539
99,80,1660.1149626434449,5973,805,5168,1560.1149626434449,13.477314582286958
38,88,1659.5115226308508,10003,1946,8057,1559.5115226308508,19.454163750874738
95,70,1659.2484857805948,6613,972,5641,1559.2484857805948,14.698321487978225
48,63,1659.1305078962082,8695,1436,7259,1559.1305078962082,16.51523864289822
59,60,1658.949699954989,5334,719,4615,1558.949699954989,13.479565054368203
92,69,1658.4206957106635,6672,994,5678,1558.4206957106635,14.898081534772182
25,79,1657.8888988579615,12250,2431,9819,1557.8888988579615,19.844897959183676
84,68,1657.8483676099427,6517,935,5582,1557.8483676099427,14.347092220346786
69,39,1657.6410511436056,9798,1703,8095,1557.6410511436056,17.381098183302715
23,87,1657.4767242621865,12403,2645,9758,1557.4767242621865,21.325485769571877
77,32,1657.1833747218411,11660,2124,9536,1557.1833747218411,18.216123499142366
46,72,1656.0967222826848,9283,1624,7659,1556.0967222826848,17.494344500700205
31,94,1655.850404286235,10798,2083,8715,1555.850404286235,19.290609372105948
23,38,1655.5788160323225,14704,2949,11755,1555.5788160323225,20.05576713819369
89,75,1655.5096400245538,6040,831,5209,1555.5096400245538,13.758278145695362
83,70,1654.9891142669962,6316,897,5419,1554.9891142669962,14.202026599113363
91,75,1654.6545600074296,6077,841,5236,1554.6545600074296,13.839065328286985
100,30,1652.965000074692,12453,2351,10102,1552.965000074692,18.878984983538103
31,42,1652.6798808045883,11910,2028,9882,1552.6798808045883,17.027707808564234
35,26,1652.5689231423664,13316,2402,10914,1552.5689231423664,18.038449984980474
25,57,1652.5638948215774,13183,2621,10562,1552.5638948215774,19.881665781688536
97,52,1652.224999820493,8271,1349,6922,1552.224999820493,16.309998790956353
14,37,1651.599892415646,19470,4448,15022,1551.599892415646,22.845403184386235
32,36,1651.5524168099728,10273,1656,8617,1551.5524168099728,16.119926019663193
41,16,1651.1660629534447,19484,4202,15282,1551.1660629534447,21.566413467460478
75,80,1650.632150049728,5325,681,4644,1550.632150049728,12.788732394366198
89,67,1650.3230895642669,6734,1036,5698,1550.3230895642669,15.384615384615385
31,48,1650.320645665129,12028,2143,9885,1550.320645665129,17.81676089125374
65,34,1649.968794081833,11128,2007,9121,1549.968794081833,18.035585909417684
20,77,1649.741363517494,13561,2926,10635,1549.741363517494,21.576579898237593
