MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
49,51,4656.1570980378265,619,96,523,4556.1570980378265,15.508885298869144
95,48,4655.120520831872,783,130,653,4555.120520831872,16.602809706257982
51,93,4655.0379784876295,789,153,636,4555.0379784876295,19.39163498098859
3,1,4654.633000000197,5238,1215,4023,4554.633000000197,23.195876288659793
10,36,4654.567583337679,2350,592,1758,4554.567583337679,25.19148936170213
15,30,4654.243166667349,1857,398,1459,4554.243166667349,21.43241787829833
8,67,4652.195029852183,2459,635,1824,4552.195029852183,25.823505490036602
51,49,4651.6248163264145,625,95,530,4551.6248163264145,15.2
81,26,4651.3863076817925,1348,245,1103,4551.3863076817925,18.17507418397626
37,14,4649.357714287113,1993,397,1596,4549.357714287113,19.919719016557952
9,90,4648.872277775054,2096,529,1567,4548.872277775054,25.23854961832061
74,48,4647.492624998891,781,135,646,4547.492624998891,17.285531370038413
75,48,4646.859104166353,789,138,651,4546.859104166353,17.490494296577946
18,25,4645.246080009002,1657,327,1330,4545.246080009002,19.734459867229933
52,13,4644.699461542114,2079,439,1640,4544.699461542114,21.115921115921115
7,98,4643.449193869936,2573,687,1886,4543.449193869936,26.700349786241738
72,23,4641.304086945387,1348,280,1068,4541.304086945387,20.77151335311573
51,26,4641.00311538099,1330,239,1091,4541.00311538099,17.969924812030076
94,48,4640.55452083201,786,131,655,4540.55452083201,16.666666666666664
7,62,4639.294516129238,2784,751,2033,4539.294516129238,26.97557471264368
58,13,4638.6640769223295,2086,435,1651,4538.6640769223295,20.853307766059444
17,14,4638.188642857099,1938,364,1574,4538.188642857099,18.78224974200206
94,50,4637.84893999712,733,134,599,4537.84893999712,18.281036834924965
22,94,4636.9183297817035,1283,299,984,4536.9183297817035,23.304754481683553
15,29,4635.689586206873,1874,391,1483,4535.689586206873,20.86446104589114
60,13,4634.421769234536,2070,436,1634,4534.421769234536,21.06280193236715
8,46,4633.2726956454235,2675,677,1998,4533.2726956454235,25.30841121495327
100,19,4632.800105260177,1528,303,1225,4532.800105260177,19.829842931937172
9,89,4632.631123592261,2114,532,1582,4532.631123592261,25.165562913907287
15,72,4632.018708331959,1502,341,1161,4532.018708331959,22.70306258322237
98,1,4631.698000000111,2817,558,2259,4531.698000000111,19.808306709265175
4,62,4630.9682258029925,4262,1218,3044,4530.9682258029925,28.578132332238386
85,18,4629.930444437484,1563,328,1235,4529.930444437484,20.985284708893154
91,22,4628.642636353221,1454,295,1159,4528.642636353221,20.288858321870702
24,13,4628.0015384679855,2235,462,1773,4528.0015384679855,20.671140939597315
75,13,4627.548692314757,2018,428,1590,4527.548692314757,21.209117938553025
21,25,4627.471959999396,1423,262,1161,4527.471959999396,18.41180604356992
54,13,4625.913230769629,2079,441,1638,4525.913230769629,21.21212121212121
84,50,4623.8617600008165,731,128,603,4523.8617600008165,17.510259917920656
18,13,4623.734923076457,2166,437,1729,4523.734923076457,20.175438596491226
57,14,4623.612071424165,1924,385,1539,4523.612071424165,20.01039501039501
20,91,4621.096010987501,1349,295,1054,4521.096010987501,21.868050407709415
31,1,4620.13600000012,3033,627,2406,4520.13600000012,20.672601384767557
24,14,4618.951285714599,2078,409,1669,4518.951285714599,19.682386910490855
2,6,4616.590999980324,5540,1381,4159,4516.590999980324,24.927797833935017
18,61,4615.841459024417,1394,309,1085,4515.841459024417,22.166427546628405
41,23,4615.763304344912,1363,274,1089,4515.763304344912,20.102714600146733
14,73,4614.313205476329,1558,348,1210,4514.313205476329,22.33632862644416
15,85,4612.811399999804,1436,337,1099,4512.811399999804,23.467966573816156
